timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date,body_pct,high_pct
1609509600000,5.155,6.97,5.1,6.142,63489.372,1609513199999,382379.50890200,1865,35959.05000000,217830.63846200,0,2021-01-01 14:00:00,19.146459747817655,35.20853540252181
1609534800000,5.561,6.666,5.561,6.04,42204.253,1609538399999,263981.76764000,1370,22023.56500000,137739.10215700,0,2021-01-01 21:00:00,8.61355871246179,19.870526883654026
1609563600000,5.634,6.7,5.5,6.195,50486.149,1609567199999,308686.71770700,1684,30079.40500000,184901.55572600,0,2021-01-02 05:00:00,9.957401490947815,18.920837770678023
1609574400000,6.201,6.717,6.184,6.489,18258.766,1609577999999,118439.58459400,766,9251.76600000,60038.56709500,0,2021-01-02 08:00:00,4.644412191582007,8.321238509917755
1609761600000,4.133,4.438,4.104,4.39,4600.378,1609765199999,19827.64223400,221,2262.95400000,9724.89544700,0,2021-01-04 12:00:00,6.218243406726341,7.379627389305582
1609786800000,4.324,4.74,4.257,4.508,16541.505,1609790399999,75463.85123400,541,6764.99500000,30958.77864700,0,2021-01-04 19:00:00,4.255319148936175,9.620721554116567
1610089200000,3.56,4.312,3.56,3.96,54966.61,1610092799999,220397.69676000,1372,32074.64800000,128318.26819900,0,2021-01-08 07:00:00,11.235955056179773,21.123595505617985
1610326800000,2.81,3.095,2.628,2.936,24491.915,1610330399999,69535.99715100,730,12806.08000000,36632.78303700,0,2021-01-11 01:00:00,4.483985765124551,10.142348754448403
1610348400000,2.506,2.98,2.505,2.926,14045.148,1610351999999,38993.42450700,222,4559.98600000,12584.88405300,0,2021-01-11 07:00:00,16.759776536312863,18.91460494812451
1610398800000,2.665,2.929,2.621,2.745,1925.559,1610402399999,5278.26267600,77,1218.75700000,3335.69910000,0,2021-01-11 21:00:00,3.001876172607883,9.906191369605995
1610528400000,2.557,3.118,2.549,2.836,18444.726,1610531999999,52175.06053800,547,8893.17700000,25387.33238500,0,2021-01-13 09:00:00,10.911224090731322,21.939773171685566
1610568000000,2.928,3.778,2.881,3.522,42611.743,1610571599999,146748.98757500,987,23548.60600000,81060.86236400,0,2021-01-13 20:00:00,20.286885245901633,29.030054644808743
1610571600000,3.522,7.14,3.522,5.667,1106781.13,1610575199999,6368569.09570800,28238,610422.72000000,3536122.52887500,0,2021-01-13 21:00:00,60.90289608177173,102.72572402044293
1610575200000,5.641,6.1,5.001,5.265,328056.065,1610578799999,1806487.91733300,9631,182373.30200000,1006657.45404200,0,2021-01-13 22:00:00,-6.665484843112929,8.136855167523482
1610578800000,5.279,5.944,4.82,5.34,318397.103,1610582399999,1712432.74524300,8326,177696.66400000,962355.38629900,0,2021-01-13 23:00:00,1.1555218791437762,12.597082780829705
1610593200000,4.72,5.999,4.453,5.2,165303.373,1610596799999,864921.82357800,3945,77601.28800000,409892.71061000,0,2021-01-14 03:00:00,10.169491525423737,27.097457627118644
1610596800000,5.2,6.0,5.049,5.712,127971.898,1610600399999,709982.07340000,2976,71540.93200000,398781.33943000,0,2021-01-14 04:00:00,9.846153846153838,15.38461538461538
1610604000000,5.472,5.95,5.3,5.552,124304.808,1610607599999,705293.14045700,3065,69009.97400000,393968.35908000,0,2021-01-14 06:00:00,1.4619883040935522,8.735380116959059
1610654400000,4.678,5.53,4.58,4.887,162816.096,1610657999999,844028.42063100,4349,86436.61500000,451944.37267700,0,2021-01-14 20:00:00,4.467721248396743,18.212911500641308
1610668800000,4.555,4.9,4.476,4.842,35082.254,1610672399999,163037.01031800,1244,14694.82000000,68200.19827200,0,2021-01-15 00:00:00,6.300768386388583,7.5740944017563265
1610676000000,4.802,5.101,4.67,5.09,21235.354,1610679599999,103858.62478400,1160,10671.81300000,52436.24380300,0,2021-01-15 02:00:00,5.997501041232826,6.226572261557693
1610744400000,4.187,4.688,4.162,4.479,62433.671,1610747999999,276744.29963800,2530,31819.39100000,141276.34027000,0,2021-01-15 21:00:00,6.973967040840693,11.965607833771182
1611140400000,4.2,4.99,4.175,4.798,126066.855,1611143999999,592218.69776800,3479,68578.97200000,320794.82773900,0,2021-01-20 11:00:00,14.238095238095234,18.80952380952381
1611280800000,3.703,4.036,3.692,3.792,2961.188,1611284399999,11409.60883700,128,2422.53400000,9361.72381200,0,2021-01-22 02:00:00,2.4034566567647846,8.992708614636774
1611835200000,3.394,3.7,3.394,3.559,19268.465,1611838799999,68085.57148400,515,12375.36700000,44008.19892900,0,2021-01-28 12:00:00,4.861520329994108,9.01591043017089
1611846000000,3.71,4.15,3.691,3.9,82305.523,1611849599999,324698.70755400,1480,39727.75500000,156353.75838100,0,2021-01-28 15:00:00,5.121293800539082,11.859838274932626
1612191600000,3.494,4.001,3.453,3.73,47397.116,1612195199999,180184.55870900,970,23461.25900000,88969.58543900,0,2021-02-01 15:00:00,6.754436176302225,14.510589582140815
1612342800000,3.966,4.305,3.931,4.101,30550.347,1612346399999,126215.98026300,876,19353.52100000,79792.45072600,0,2021-02-03 09:00:00,3.4039334341906144,8.547655068078656
1612350000000,4.104,4.55,4.101,4.435,38477.309,1612353599999,168427.43574100,1135,22749.03200000,99345.43463400,0,2021-02-03 11:00:00,8.0653021442495,10.867446393762178
1612504800000,4.14,4.373,4.1,4.372,11838.792,1612508399999,50355.47443200,327,6393.30000000,27246.37425400,0,2021-02-05 06:00:00,5.603864734299522,5.628019323671511
1612620000000,4.043,4.68,3.952,4.627,110160.169,1612623599999,473478.88130600,1980,60631.42200000,261825.03734500,0,2021-02-06 14:00:00,14.444719267870385,15.755627009646291
1612728000000,4.09,5.0,4.038,4.061,159608.215,1612731599999,711064.28762900,4872,93711.05200000,420735.62760800,0,2021-02-07 20:00:00,-0.7090464547677241,22.24938875305624
1612785600000,4.168,4.503,4.157,4.345,31691.767,1612789199999,137199.63157800,826,19561.32700000,85213.04185200,0,2021-02-08 12:00:00,4.246641074856036,8.037428023032628
1612792800000,4.24,4.508,4.24,4.501,35168.031,1612796399999,154288.53048600,659,13249.66500000,58152.49906200,0,2021-02-08 14:00:00,6.155660377358493,6.320754716981127
1612796400000,4.501,4.884,4.5,4.701,56567.753,1612799999999,266281.33021800,1602,30760.95000000,144915.13695200,0,2021-02-08 15:00:00,4.443457009553416,8.509220173294823
1612962000000,4.834,5.369,4.834,5.14,20865.504,1612965599999,105844.47482000,930,11517.02300000,58795.53122400,0,2021-02-10 13:00:00,6.330161357054201,11.067438973934633
1613073600000,5.791,6.999,5.653,5.787,243545.494,1613077199999,1530062.17012400,8403,116340.46400000,737375.31765100,0,2021-02-11 20:00:00,-0.06907269901572176,20.859955102745626
1613127600000,6.668,8.49,6.652,7.8,329380.68,1613131199999,2553739.69973500,11312,186883.92700000,1442974.14326000,0,2021-02-12 11:00:00,16.97660467906418,27.324535092981407
1613142000000,6.75,7.198,6.71,7.191,51082.03,1613145599999,356116.26553100,1845,25817.99200000,179380.62306100,0,2021-02-12 15:00:00,6.533333333333331,6.637037037037043
1613203200000,7.2,7.75,7.073,7.73,35160.359,1613206799999,261141.24945400,1561,18378.17500000,136750.81209700,0,2021-02-13 08:00:00,7.361111111111114,7.638888888888887
1613246400000,7.26,7.8,7.231,7.7,28251.741,1613249999999,212366.02281300,1134,16550.88600000,125126.13649800,0,2021-02-13 20:00:00,6.060606060606066,7.43801652892562
1613408400000,6.461,7.0,6.461,6.678,11352.244,1613411999999,75902.47478700,510,7494.26200000,50398.08670400,0,2021-02-15 17:00:00,3.3586132177681414,8.34236186348862
1613440800000,6.233,6.869,6.233,6.587,24971.19,1613444399999,163353.65184000,910,11389.22000000,75001.14489400,0,2021-02-16 02:00:00,5.679448098828816,10.20375421145516
1613635200000,8.086,8.88,7.965,8.0,168820.41,1613638799999,1425046.47916400,5051,91947.13000000,779370.32571900,0,2021-02-18 08:00:00,-1.0635666584219674,9.819441009151626
1613941200000,7.267,7.92,5.304,6.765,91297.829,1613944799999,650544.83784800,4123,43872.76000000,316394.56376200,0,2021-02-21 21:00:00,-6.907940002752176,8.98582633824136
1614081600000,4.212,4.564,4.121,4.559,7583.041,1614085199999,33020.84266800,333,4058.36200000,17643.87583600,0,2021-02-23 12:00:00,8.238366571699915,8.357075023741698
1614110400000,4.181,4.501,4.11,4.501,13448.49,1614113999999,57259.16710100,436,5919.79800000,25523.19077800,0,2021-02-23 20:00:00,7.653671370485536,7.653671370485536
1614153600000,5.12,5.58,5.106,5.533,36604.514,1614157199999,198548.44719900,1121,22463.60100000,121967.81179800,0,2021-02-24 08:00:00,8.066406250000005,8.984374999999998
1614243600000,5.013,5.4,4.917,5.31,34517.087,1614247199999,177314.86038800,1116,20129.26700000,103947.77400900,0,2021-02-25 09:00:00,5.924596050269295,7.719928186714552
1614445200000,4.454,4.921,4.416,4.8,43261.761,1614448799999,204115.22374300,1572,22843.84200000,107477.17548100,0,2021-02-27 17:00:00,7.768298158958242,10.484957341715324
1614528000000,4.072,4.4,4.001,4.398,26124.782,1614531599999,110564.43311400,618,10595.95400000,44955.70849100,0,2021-02-28 16:00:00,8.00589390962671,8.055009823182719
1614531600000,4.373,5.359,4.373,4.571,277864.717,1614535199999,1365433.46513400,8718,139655.47600000,687935.66733000,0,2021-02-28 17:00:00,4.527784129887937,22.547450262977353
